filename	diarization name	new speaker name	corpus speaker label	unknown time	notes	index
he_w006	Speaker 1	heMT001	MALE-SPKR	191.23	(could be F1M72A / heM005)	1
he_w006	Speaker 2	heF001	F1F68A			2
						3
he_w007	Speaker 1	heF001	F1F68A			4
						5
he_w009	Speaker 1	heF002	F1F70A			6
						7
he_w010	Speaker 1	heF002	F1F70A			8
he_w010	Speaker 2	heM001	F1M70A			9
he_w010	Speaker 3	heF002	F1F70A_EDIT_(RG)			10
he_w010	Speaker 4	heF002	F1F70A_VOT			11
he_w010	Speaker 5	heF002	F1F70A-Eng2			12
						13
he_w011	Speaker 1	heF003	F1F75A			14
he_w011	Speaker 2	heM002	F1M80A			15
he_w011	Speaker 3	heF004	F2F38A			16
						17
he_w013	Speaker 1	heF003	speaker		(original filename indicates that this is F1F75A)	18
he_w013	Speaker 2	heFT001	speaker_2	27.02	(could be F2F38A / heF004)	19
						20
he_w014	Speaker 1	heF005	F2F51A			21
he_w014	Speaker 2	heM003	F2M58A			22
he_w014	Speaker 3	heM004	F1M92A			23
he_w014	Speaker 4	heF006	F1F79A			24
						25
he_w015	Speaker 1	heM004	F1M92A			26
he_w015	Speaker 2	heF006	F1F79A			27
						28
he_w016	Speaker 1	heM005	F1M72A			29
he_w016	Speaker 2	heF001	F1F68A			30
						31
he_w017	Speaker 1	heM005	F1M72A			32
he_w017	Speaker 2	heUT001	OTHER-SPKRS	18.51		33
						34
he_w018	Speaker 1	heM005	F1M72A			35
						36
he_w019	Speaker 1	heM006	F1M75A			37
he_w019	Speaker 2	heF007	F1F71A			38
he_w019	Speaker 3	heF008	F2F50A			39
he_w019	Speaker 4	heM007	F2M42A			40
						41
he_w020	Speaker 1	heM006	father		(original filename + he_w019 filename indicates that this is F1M75A)	42
he_w020	Speaker 2	heF008	daughter		(original filename + he_w019 filename indicates that this is F2F50A)	43
he_w020	Speaker 3	heF007	mother		(original filename + he_w019 filename indicates that this is F1F71A)	44
he_w020	Speaker 4	heM007	son		(original filename + he_w019 filename indicates that this is F2M42A)	45
						46
he_w021	Speaker 1	heM008	Speaker		(original filename indicates that this is F1M76A)	47
						48
he_w022	Speaker 1	heM008	F1M76A			49
						50
he_w023	Speaker 1	heM002	F1M80A			51
he_w023	Speaker 2	heF003	F1F75A			52
						53
he_w024	Speaker 1	heM004	F1M92A			54
he_w024	Speaker 2	heF006	F1F79A			55
						56
he_w025	Speaker 1	heF009	speaker		(original filename indicates that this is F2F29A)	57
he_w025	Speaker 2	heFT002	mother	13.56		58
he_w025	Speaker 3	heMT002	father	33.28		59
						60
he_w026	Speaker 1	heF004	F2F38A			61
						62
he_w027	Speaker 1	heF008	F2F50A			63
						64
he_w028	Speaker 1	heF005	Speaker		(original filename indicates that this is F2F51A)	65
he_w028	Speaker 2	heMT003	speaker's_husband	2.73		66
he_w028	Speaker 3	heFT003	female_in_background	4.31		67
						68
he_w029	Speaker 1	heM009	F2M32A			69
						70
he_w030	Speaker 1	heM009	F2M32A_VOT			71
he_w030	Speaker 2	heM009	F2M32A_EDIT_(RG)			72
he_w030	Speaker 3	heM009	F2M32A			73
						74
he_w031	Speaker 1	heM007	F2M42A			75
