wav	eafs	docs	docx	File (no extension)	Legend		
090614-001_card2_2.wav					Not transcribed at all		Note: All the File files were taken from D:\HLVC\FAETAR (Homeland)\HOMELAND Faetar stuff pre-2019\Faetar transcriptions other (as docs)
190715-000.wav					Partial transcription / recording		
190715-001.wav					"Good to go
- Full transcription"		
190715-002.wav					Mislabelled		
190715-004.wav					Immediate check & blank		
190715-005.wav					Restricted file		
190715-006.wav					Naomi's files May 2023		
190715-007.wav					FW = first words		
190715-008.wav					IV = interview		
190715-010.wav							
190717-001.wav	F82B2019_convo & FW_2019.eaf						
190718-000.wav							
190722-000.wav							
190725-000.wav							
190725-001.wav							
190725-002.wav							
190727-000.wav							
F0M60A_FW.wav							
F0M60A_IV.wav							
F10A_S_IV26_Tape 19a.wav							
F11A_S_IV_Tape 28a.wav			F11A_FW.docx				
F11B_S_IV_Tape 27b.wav	"F11B_FW.eaf
F11B_S_IV_Tape27b.eaf"	F11B_FW.doc	F11B_FW2.docx				
F11B_S_IV_Tape 28a.wav		F11B_FW.doc	F11B_FW2.docx				
F11C_S_IV_Tape 28a.wav	F11C FW.eaf	F11C_FW.doc	F11C_FW.docx				
F11D_S_IV39_Tape 17a.wav							
F11E_S_IV_Tape 28a.wav			F11E M. Tozza FW.docx				
F12A F12B transcrip.wav	F12A and F12B C (only part Tape 42B) (future+tape 41B).eaf	"F12A, F12B transcrip.doc"	"F12A, F12B transcrip.docx
F12A, F12B transcrip (2) - to do - Need tape 41b.docx"				
F13_S_IV_Tape 28a.wav		F13_FW.doc	F13_FW.docx				
F14A_S_IV_Tape 28a.wav	"F14 FW.eaf
F14A_S_IV_Tape28a.eaf
F14A FW.eaf"	F14A_FW.doc	F14A_FW.docx				
F14B_S_IV_Tape 26a.wav			F14B V. DePalma FW.docx				
F15_S_IV_Tape 26a.wav			F15 S. Marenda FW.docx				
F16A2019_FW.wav							
F17B2019_IV_2019.wav							
F17_S_IV_Tape 26a.wav			F17 P. Petitti FW.docx				
F21A_2019_IV.wav							
F21_S_IV38_Tape 16a.wav	F21 FW.eaf	F21_FW.doc	F21_FW.docx				
F27C2019_2019_FW_anon.wav	"F27C2019_2019_FW_anon.eaf
F27A-inprogress.eaf"						
F29C_2019_FW.wav							
F29C_2019_IV.wav							
F30B2019_2019_FW.wav							
F30B2019_2019_IV.wav							
F47A2019_IV_2019.wav	"F0F47A2019_IV_2019.eaf
F47A2019_IV_2019.eaf
F47A2019_2019_IV.eaf"						
F5 Transcrip.wav	F5 - transcript (future+M56).eaf	F5 transcrip.doc	F5 transcrip.docx				
F5,2 Transcrip.wav		F5.2 transcrip.doc	F5.2 transcrip.docx				
F50D_C_IV_Tape 25b.wav	F50D C.eaf	"F50D_C.doc
F50D iv tran.doc"	F50D_C.docx				
F56B_F68_C_IV29a2_Tape 29a.wav	F56B F68 C.eaf	F56B&F68_C.doc	F56B&F68_C.docx				
F60C_plus_C_IV13_Tape 11a.wav							
F60C_plus_C_IV13_Tape 11b.wav							
F62A_S_IV_Tape 27a.wav							
F62B_C_IV9_Tape 7a.wav		"F62B_C_IV9.doc
F62BIV9.doc"	F62B_C_IV9.docx				
